Model,Fit_Time_sec,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_Roc_auc,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_Roc_auc,Embedding
ComplementNB_count_cv,0.819190263748169,0.8821100000000002,0.8798315226801003,0.8851110678697172,0.882462521182031,0.9437604530588576,0.8656,0.8619848350066605,0.8706062427030234,0.8662658412093712,0.929283097916908,_count_cv
BernoulliNB_count_cv,1.1618402004241943,0.88529,0.8769014832765721,0.8964201775492494,0.8865523487019529,0.9490860270733464,0.8693399999999999,0.8604036236433276,0.8817771386371668,0.8709445290680378,0.936032983428379,_count_cv
DecisionTreeClassifier_count_cv,799.256236076355,1.0,1.0,1.0,1.0,1.0,0.72348,0.7259789935314629,0.7179747817487961,0.7219333613616679,0.7234917246847472,_count_cv
RandomForestClassifier_count_cv,1484.5686764717102,1.0,1.0,1.0,1.0,1.0,0.8548199999999999,0.85277777805785,0.8577188985750679,0.8552349108184665,0.9291128402091278,_count_cv
ExtraTreesClassifier_count_cv,1997.196959733963,1.0,1.0,1.0,1.0,1.0,0.8739000000000001,0.8758393649140475,0.8713248290919078,0.8735683609394748,0.9430509817444902,_count_cv
GradientBoostingClassifier_count_cv,689.7564613819122,0.81523,0.7834765205594124,0.8712389306191373,0.8250286465646821,0.903304497705418,0.80762,0.7762749228056467,0.8644035710079608,0.8179560032047144,0.8931528182903415,_count_cv
AdaBoostClassifier_count_cv,166.07311367988586,0.7540549999999999,0.7199441372406422,0.8319268703896092,0.7717935079801315,0.8254261473915376,0.75396,0.7198339791519983,0.832426478704176,0.7718221118229709,0.8245390681944935,_count_cv
MLPClassifier_count_cv,3274.095648288727,0.999985,1.0,0.9999700054983756,0.999985002374316,0.9999999985,0.87614,0.8728126024762807,0.88058764845717,0.8766788975932794,0.941193358368721,_count_cv
LogisticRegression_tfidf,0.9719278812408448,0.9322,0.9250172091651097,0.94065,0.9327681094749368,0.9815318575,0.9025,0.8931431920296933,0.9144,0.90364660539579,0.96358716,_tfidf
SGDClassifier_tfidf,0.3088946342468261,0.92655,0.9144883879117676,0.9411,0.9276033709526392,0.97832099375,0.9005,0.8860613071139387,0.9192,0.90232649455188,0.9633396399999998,_tfidf
LinearSVC_tfidf,1.727977991104126,0.98145,0.9796274158198844,0.98335,0.9814851781614932,0.9982111075,0.8954,0.8882560879811469,0.9046,0.8963535473642489,0.96001724,_tfidf
MultinomialNB_tfidf,0.04661226272583,0.893575,0.8844068955413391,0.9055,0.8948291622402846,0.9590747725,0.8749,0.8616631294617018,0.8932,0.8771481881567318,0.9467632,_tfidf
ComplementNB_tfidf,0.0409548282623291,0.893575,0.8844068955413391,0.9055,0.8948291622402846,0.9590747725,0.8749,0.8616631294617018,0.8932,0.8771481881567318,0.9467632,_tfidf
BernoulliNB_tfidf,0.0703234672546386,0.884625,0.8776572242132653,0.89385,0.8856796056379895,0.94851622625,0.8717,0.8619279454722493,0.8852,0.8734089787863838,0.93725348,_tfidf
DecisionTreeClassifier_tfidf,126.85818648338318,1.0,1.0,1.0,1.0,1.0,0.7287,0.7256759423722123,0.7354,0.7305056123969405,0.7287,_tfidf
RandomForestClassifier_tfidf,77.7092649936676,1.0,1.0,1.0,1.0,1.0,0.8552,0.8544910179640719,0.8562,0.8553446553446553,0.9322541,_tfidf
ExtraTreesClassifier_tfidf,118.3766257762909,1.0,1.0,1.0,1.0,1.0,0.8716,0.8695306284805091,0.8744,0.8719585161547666,0.94182516,_tfidf
